"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"通信費","71919000","2018-04-01","2019-03-31","CommunicationExpensesSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"地代家賃","541369000","2017-04-01","2018-03-31","RentsSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"地代家賃","536499000","2018-04-01","2019-03-31","RentsSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"減価償却費","35248000","2017-04-01","2018-03-31","DepreciationSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"減価償却費","18226000","2018-04-01","2019-03-31","DepreciationSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"その他","432442000","2017-04-01","2018-03-31","OtherSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"その他","425876000","2018-04-01","2019-03-31","OtherSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"営業費用","4220551000","2017-04-01","2018-03-31","OperatingExpensesCMD","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"営業費用","3865840000","2018-04-01","2019-03-31","OperatingExpensesCMD","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"営業利益又は営業損失（△）","-145675000","2017-04-01","2018-03-31","OperatingIncome","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"営業利益又は営業損失（△）","-327691000","2018-04-01","2019-03-31","OperatingIncome","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"受取利息","97000","2017-04-01","2018-03-31","InterestIncomeNOI","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"受取利息","105000","2018-04-01","2019-03-31","InterestIncomeNOI","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"受取配当金","600000","2017-04-01","2018-03-31","DividendsIncomeNOI","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"受取配当金","614000","2018-04-01","2019-03-31","DividendsIncomeNOI","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"貸倒引当金戻入額","104251000","2017-04-01","2018-03-31","ReversalOfAllowanceForDoubtfulAccountsNOI","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"貸倒引当金戻入額","10014000","2018-04-01","2019-03-31","ReversalOfAllowanceForDoubtfulAccountsNOI","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"為替差益",NA,"2017-04-01","2018-03-31","ForeignExchangeGainsNOI","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"為替差益","522000","2018-04-01","2019-03-31","ForeignExchangeGainsNOI","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"償却債権取立益","68000","2017-04-01","2018-03-31","GainOnBadDebtsRecoveredNOI","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"償却債権取立益",NA,"2018-04-01","2019-03-31","GainOnBadDebtsRecoveredNOI","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"その他","7342000","2017-04-01","2018-03-31","OtherNOI","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"その他","2827000","2018-04-01","2019-03-31","OtherNOI","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"営業外収益","133299000","2017-04-01","2018-03-31","NonOperatingIncome","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"営業外収益","43337000","2018-04-01","2019-03-31","NonOperatingIncome","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"支払利息","377000","2017-04-01","2018-03-31","InterestExpensesNOE","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"支払利息","133000","2018-04-01","2019-03-31","InterestExpensesNOE","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"為替差損","657000","2017-04-01","2018-03-31","ForeignExchangeLossesNOE","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"為替差損",NA,"2018-04-01","2019-03-31","ForeignExchangeLossesNOE","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"その他","56000","2017-04-01","2018-03-31","OtherNOE","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"その他","800000","2018-04-01","2019-03-31","OtherNOE","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
