"docID","edinetCode","filerName","secCode","periodEnd"
"S100G9WI","E02952","石光商事","27500","2019-03-31"
"S100GD7Q","E30047","じげん","36790","2019-03-31"
"S100GDNY","E27615","夢展望","31850","2019-03-31"
"S100GD70","E02227","安永","72710","2019-03-31"
"S100GDOY","E03360","夢みつけ隊","26730","2019-03-31"
"S100GDOR","E00660","大王製紙","38800","2019-03-31"
"S100GDPD","E34165","ＩＴｂｏｏｋホールディングス","14470","2019-03-31"
"S100GDQJ","E02566","中央魚類","80300","2019-03-31"
"S100GDP7","E02305","ＭＵＴＯＨホールディングス","79990","2019-03-31"
"S100GCNG","E02446","アーク","78730","2019-03-31"
"S100GDQO","E02377","マミヤ・オーピー","79910","2019-03-31"
